Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
01.03.2023 00:00;0,377
01.03.2023 01:00;0,368
01.03.2023 02:00;0,444
01.03.2023 03:00;0,343
01.03.2023 04:00;0,358
01.03.2023 05:00;0,322
01.03.2023 06:00;0,965
01.03.2023 07:00;0,4
01.03.2023 08:00;0,841
01.03.2023 09:00;0,309
01.03.2023 10:00;0,378
01.03.2023 11:00;0,463
01.03.2023 12:00;0,612
01.03.2023 13:00;0,434
01.03.2023 14:00;0,362
01.03.2023 15:00;0,332
01.03.2023 16:00;0,418
01.03.2023 17:00;0,64
01.03.2023 18:00;0,64
01.03.2023 19:00;1,005
01.03.2023 20:00;0,716
01.03.2023 21:00;0,63
01.03.2023 22:00;0,558
01.03.2023 23:00;0,387
02.03.2023 00:00;0,364
02.03.2023 01:00;0,381
02.03.2023 02:00;0,413
02.03.2023 03:00;0,398
02.03.2023 04:00;0,331
02.03.2023 05:00;0,352
02.03.2023 06:00;0,675
02.03.2023 07:00;0,424
02.03.2023 08:00;0,481
02.03.2023 09:00;0,353
02.03.2023 10:00;0,317
02.03.2023 11:00;0,421
02.03.2023 12:00;0,859
02.03.2023 13:00;0,737
02.03.2023 14:00;0,351
02.03.2023 15:00;0,332
02.03.2023 16:00;0,32
02.03.2023 17:00;0,492
02.03.2023 18:00;0,677
02.03.2023 19:00;0,466
02.03.2023 20:00;0,51
02.03.2023 21:00;0,655
02.03.2023 22:00;0,773
02.03.2023 23:00;0,707
03.03.2023 00:00;0,606
03.03.2023 01:00;0,54
03.03.2023 02:00;0,417
03.03.2023 03:00;0,439
03.03.2023 04:00;0,405
03.03.2023 05:00;0,367
03.03.2023 06:00;0,319
03.03.2023 07:00;0,361
03.03.2023 08:00;0,388
03.03.2023 09:00;0,463
03.03.2023 10:00;0,667
03.03.2023 11:00;0,697
03.03.2023 12:00;1,184
03.03.2023 13:00;0,641
03.03.2023 14:00;0,327
03.03.2023 15:00;0,362
03.03.2023 16:00;0,322
03.03.2023 17:00;0,449
03.03.2023 18:00;0,422
03.03.2023 19:00;0,406
03.03.2023 20:00;0,359
03.03.2023 21:00;0,484
03.03.2023 22:00;0,662
03.03.2023 23:00;0,675
04.03.2023 00:00;1,024
04.03.2023 01:00;0,673
04.03.2023 02:00;0,525
04.03.2023 03:00;0,502
04.03.2023 04:00;0,392
04.03.2023 05:00;0,33
04.03.2023 06:00;0,352
04.03.2023 07:00;0,327
04.03.2023 08:00;0,417
04.03.2023 09:00;0,538
04.03.2023 10:00;0,57
04.03.2023 11:00;1,534
04.03.2023 12:00;1,012
04.03.2023 13:00;1,218
04.03.2023 14:00;1,202
04.03.2023 15:00;0,754
04.03.2023 16:00;0,517
04.03.2023 17:00;0,464
04.03.2023 18:00;0,584
04.03.2023 19:00;0,666
04.03.2023 20:00;1,559
04.03.2023 21:00;0,729
04.03.2023 22:00;0,663
04.03.2023 23:00;0,91
05.03.2023 00:00;0,879
05.03.2023 01:00;0,459
05.03.2023 02:00;0,396
05.03.2023 03:00;0,352
05.03.2023 04:00;0,329
05.03.2023 05:00;0,347
05.03.2023 06:00;0,396
05.03.2023 07:00;0,567
05.03.2023 08:00;0,637
05.03.2023 09:00;0,392
05.03.2023 10:00;0,362
05.03.2023 11:00;0,545
05.03.2023 12:00;0,435
05.03.2023 13:00;0,378
05.03.2023 14:00;0,45
05.03.2023 15:00;0,876
05.03.2023 16:00;0,393
05.03.2023 17:00;0,363
05.03.2023 18:00;0,311
05.03.2023 19:00;0,355
05.03.2023 20:00;0,384
05.03.2023 21:00;0,365
05.03.2023 22:00;0,313
05.03.2023 23:00;0,356
06.03.2023 00:00;0,378
06.03.2023 01:00;0,367
06.03.2023 02:00;0,311
06.03.2023 03:00;0,352
06.03.2023 04:00;0,368
06.03.2023 05:00;0,371
06.03.2023 06:00;0,31
06.03.2023 07:00;0,349
06.03.2023 08:00;0,351
06.03.2023 09:00;0,37
06.03.2023 10:00;0,3
06.03.2023 11:00;0,34
06.03.2023 12:00;0,344
06.03.2023 13:00;0,372
06.03.2023 14:00;0,303
06.03.2023 15:00;0,342
06.03.2023 16:00;0,342
06.03.2023 17:00;0,389
06.03.2023 18:00;0,308
06.03.2023 19:00;0,334
06.03.2023 20:00;0,337
06.03.2023 21:00;0,403
06.03.2023 22:00;0,321
06.03.2023 23:00;0,333
07.03.2023 00:00;0,332
07.03.2023 01:00;0,409
07.03.2023 02:00;0,337
07.03.2023 03:00;0,326
07.03.2023 04:00;0,336
07.03.2023 05:00;0,377
07.03.2023 06:00;0,365
07.03.2023 07:00;0,315
07.03.2023 08:00;0,333
07.03.2023 09:00;0,322
07.03.2023 10:00;0,406
07.03.2023 11:00;0,297
07.03.2023 12:00;0,339
07.03.2023 13:00;0,307
07.03.2023 14:00;0,423
07.03.2023 15:00;0,309
07.03.2023 16:00;0,348
07.03.2023 17:00;0,303
07.03.2023 18:00;0,401
07.03.2023 19:00;0,33
07.03.2023 20:00;0,349
