Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
01.01.2023 00:00;0,302
01.01.2023 01:00;0,286
01.01.2023 02:00;0,204
01.01.2023 03:00;0,192
01.01.2023 04:00;0,198
01.01.2023 05:00;0,195
01.01.2023 06:00;0,206
01.01.2023 07:00;0,215
01.01.2023 08:00;0,224
01.01.2023 09:00;0,225
01.01.2023 10:00;0,441
01.01.2023 11:00;0,376
01.01.2023 12:00;0,366
01.01.2023 13:00;0,349
01.01.2023 14:00;0,32
01.01.2023 15:00;0,242
01.01.2023 16:00;0,393
01.01.2023 17:00;0,375
01.01.2023 18:00;0,354
01.01.2023 19:00;0,295
01.01.2023 20:00;0,293
01.01.2023 21:00;0,406
01.01.2023 22:00;0,415
01.01.2023 23:00;0,404
02.01.2023 00:00;0,42
02.01.2023 01:00;0,413
02.01.2023 02:00;0,386
02.01.2023 03:00;0,301
02.01.2023 04:00;0,294
02.01.2023 05:00;0,286
02.01.2023 06:00;0,286
02.01.2023 07:00;0,299
02.01.2023 08:00;0,292
02.01.2023 09:00;0,304
02.01.2023 10:00;0,293
02.01.2023 11:00;0,504
02.01.2023 12:00;0,396
02.01.2023 13:00;0,445
02.01.2023 14:00;0,438
02.01.2023 15:00;0,402
02.01.2023 16:00;0,394
02.01.2023 17:00;0,36
02.01.2023 18:00;0,978
02.01.2023 19:00;0,632
02.01.2023 20:00;0,941
02.01.2023 21:00;0,697
02.01.2023 22:00;0,434
02.01.2023 23:00;0,394
03.01.2023 00:00;0,336
03.01.2023 01:00;0,276
03.01.2023 02:00;0,29
03.01.2023 03:00;0,276
03.01.2023 04:00;0,256
03.01.2023 05:00;0,251
03.01.2023 06:00;0,233
03.01.2023 07:00;0,199
03.01.2023 08:00;0,193
03.01.2023 09:00;0,194
03.01.2023 10:00;0,196
03.01.2023 11:00;0,319
03.01.2023 12:00;0,353
03.01.2023 13:00;0,425
03.01.2023 14:00;0,319
03.01.2023 15:00;0,237
03.01.2023 16:00;0,315
03.01.2023 17:00;0,296
03.01.2023 18:00;0,52
03.01.2023 19:00;0,944
03.01.2023 20:00;0,351
03.01.2023 21:00;0,628
03.01.2023 22:00;0,538
03.01.2023 23:00;1,12
04.01.2023 00:00;0,248
04.01.2023 01:00;0,241
04.01.2023 02:00;0,249
04.01.2023 03:00;0,251
04.01.2023 04:00;0,231
04.01.2023 05:00;0,236
04.01.2023 06:00;0,235
04.01.2023 07:00;0,577
04.01.2023 08:00;0,407
04.01.2023 09:00;0,406
04.01.2023 10:00;0,357
04.01.2023 11:00;0,264
04.01.2023 12:00;0,785
04.01.2023 13:00;0,597
04.01.2023 14:00;0,183
04.01.2023 15:00;0,121
04.01.2023 16:00;0,217
04.01.2023 17:00;0,661
04.01.2023 18:00;0,525
04.01.2023 19:00;0,373
04.01.2023 20:00;0,41
04.01.2023 21:00;1,079
04.01.2023 22:00;0,315
04.01.2023 23:00;0,33
05.01.2023 00:00;0,326
05.01.2023 01:00;0,342
05.01.2023 02:00;0,33
05.01.2023 03:00;0,334
05.01.2023 04:00;0,342
05.01.2023 05:00;0,327
05.01.2023 06:00;0,321
05.01.2023 07:00;0,315
05.01.2023 08:00;0,569
05.01.2023 09:00;1,002
05.01.2023 10:00;0,833
05.01.2023 11:00;0,751
05.01.2023 12:00;0,866
05.01.2023 13:00;2,04
05.01.2023 14:00;1,303
05.01.2023 15:00;0,752
05.01.2023 16:00;0,379
05.01.2023 17:00;0,377
05.01.2023 18:00;0,164
05.01.2023 19:00;0,166
05.01.2023 20:00;0,81
05.01.2023 21:00;0,275
05.01.2023 22:00;0,219
05.01.2023 23:00;0,355
06.01.2023 00:00;0,321
06.01.2023 01:00;0,339
06.01.2023 02:00;0,329
06.01.2023 03:00;0,356
06.01.2023 04:00;0,376
06.01.2023 05:00;0,351
06.01.2023 06:00;0,341
06.01.2023 07:00;0,366
06.01.2023 08:00;0,463
06.01.2023 09:00;0,554
06.01.2023 10:00;1,114
06.01.2023 11:00;0,769
06.01.2023 12:00;0,406
06.01.2023 13:00;0,301
06.01.2023 14:00;0,668
06.01.2023 15:00;1,163
06.01.2023 16:00;0,433
06.01.2023 17:00;0,395
06.01.2023 18:00;0,454
06.01.2023 19:00;1,073
06.01.2023 20:00;0,445
06.01.2023 21:00;0,904
06.01.2023 22:00;0,64
06.01.2023 23:00;0,262
07.01.2023 00:00;0,235
07.01.2023 01:00;0,212
07.01.2023 02:00;0,108
07.01.2023 03:00;0,105
07.01.2023 04:00;0,108
07.01.2023 05:00;0,107
07.01.2023 06:00;0,138
07.01.2023 07:00;0,114
07.01.2023 08:00;0,243
07.01.2023 09:00;0,22
07.01.2023 10:00;0,351
07.01.2023 11:00;0,142
07.01.2023 12:00;0,092
07.01.2023 13:00;1,024
07.01.2023 14:00;0,223
07.01.2023 15:00;0,277
07.01.2023 16:00;0,225
07.01.2023 17:00;0,209
07.01.2023 18:00;0,684
07.01.2023 19:00;0,945
07.01.2023 20:00;0,382
