Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
03.01.2022;50,149
04.01.2022;28,553
05.01.2022;35,823
06.01.2022;31,204
07.01.2022;31,636
08.01.2022;41,693
09.01.2022;30,171
10.01.2022;34,42
11.01.2022;60,58
12.01.2022;44,571
13.01.2022;26,872
14.01.2022;25,72
15.01.2022;26,539
16.01.2022;26,76
17.01.2022;28,161
18.01.2022;27,994
19.01.2022;25,163
20.01.2022;28,264
21.01.2022;42,018
22.01.2022;32,789
23.01.2022;32,954
24.01.2022;45,039
25.01.2022;39,402
26.01.2022;39,31
27.01.2022;33,622
28.01.2022;32,618
29.01.2022;36,467
30.01.2022;43,328
31.01.2022;38,054
01.02.2022;38,605
02.02.2022;40,211
03.02.2022;35,322
04.02.2022;42,633
05.02.2022;45,635
06.02.2022;41,174
07.02.2022;45,28
08.02.2022;44,669
09.02.2022;44,397
10.02.2022;33,223
11.02.2022;44,179
12.02.2022;45,331
13.02.2022;39,415
14.02.2022;36,465
15.02.2022;35,311
16.02.2022;38,921
17.02.2022;44,634
18.02.2022;43,499
19.02.2022;40,536
20.02.2022;45,674
21.02.2022;45,668
22.02.2022;49,043
23.02.2022;40,082
24.02.2022;36,852
25.02.2022;40,003
26.02.2022;34,598
27.02.2022;33,026
28.02.2022;34,27
01.03.2022;39,07
02.03.2022;39,471
03.03.2022;30,665
04.03.2022;31,903
05.03.2022;31,002
06.03.2022;22,416
07.03.2022;28,738
08.03.2022;35,57
09.03.2022;35,244
10.03.2022;44,574
11.03.2022;37,534
12.03.2022;24,344
13.03.2022;30,6
14.03.2022;34,093
15.03.2022;29,547
16.03.2022;22,712
17.03.2022;23,646
18.03.2022;28,914
19.03.2022;22,264
20.03.2022;21,521
21.03.2022;28,448
22.03.2022;23,571
23.03.2022;32,241
24.03.2022;21,16
25.03.2022;28,611
26.03.2022;29,772
27.03.2022;34,414
28.03.2022;25,294
29.03.2022;38,627
30.03.2022;37,534
31.03.2022;33,018
01.04.2022;38,029
02.04.2022;25,672
03.04.2022;23,365
04.04.2022;36,589
05.04.2022;44,682
06.04.2022;34,297
07.04.2022;27,333
08.04.2022;32,724
09.04.2022;31,239
10.04.2022;31,693
11.04.2022;24,583
12.04.2022;27,875
13.04.2022;22,565
14.04.2022;28,706
15.04.2022;24,913
16.04.2022;25,612
17.04.2022;21,686
18.04.2022;28,73
19.04.2022;30,898
20.04.2022;29,411
21.04.2022;21,542
22.04.2022;20,616
23.04.2022;12,285
24.04.2022;12,105
25.04.2022;13,826
26.04.2022;14,221
27.04.2022;17,929
28.04.2022;10,751
29.04.2022;13,044
30.04.2022;16,105
01.05.2022;11,444
02.05.2022;20,789
03.05.2022;22,012
04.05.2022;16,026
05.05.2022;14,099
06.05.2022;18,735
07.05.2022;8,277
08.05.2022;14,589
09.05.2022;17,971
10.05.2022;18,329
11.05.2022;19,709
12.05.2022;17,785
13.05.2022;17,774
14.05.2022;13,25
15.05.2022;15,363
16.05.2022;22,808
17.05.2022;22,097
18.05.2022;21,187
19.05.2022;9,344
20.05.2022;20,293
21.05.2022;12,911
22.05.2022;13,884
23.05.2022;19,518
24.05.2022;18,483
25.05.2022;18,345
26.05.2022;17,61
27.05.2022;18,083
28.05.2022;19,786
29.05.2022;11,593
30.05.2022;21,812
31.05.2022;6,902
01.06.2022;19,922
02.06.2022;21,036
03.06.2022;22,7
04.06.2022;10,951
05.06.2022;12,667
06.06.2022;15,954
07.06.2022;8,717
08.06.2022;17,752
09.06.2022;18,823
10.06.2022;21,488
11.06.2022;21,511
12.06.2022;14,091
13.06.2022;15,227
14.06.2022;15,576
15.06.2022;14,501
16.06.2022;12,477
17.06.2022;26,796
18.06.2022;9,803
19.06.2022;17,254
20.06.2022;19,376
21.06.2022;19,105
22.06.2022;16,152
23.06.2022;10,947
24.06.2022;9,345
25.06.2022;9,573
26.06.2022;9,053
27.06.2022;18,86
28.06.2022;13,575
29.06.2022;18,004
30.06.2022;17,92
01.07.2022;12,758
02.07.2022;10,474
03.07.2022;11,852
04.07.2022;8,471
05.07.2022;15,977
06.07.2022;19,702
07.07.2022;15,939
08.07.2022;18,401
09.07.2022;10,472
10.07.2022;10,705
11.07.2022;13,125
12.07.2022;15,87
13.07.2022;18,384
14.07.2022;13,913
15.07.2022;17,986
16.07.2022;13,259
17.07.2022;9,851
18.07.2022;16,575
19.07.2022;14,165
20.07.2022;14,9
21.07.2022;11,141
22.07.2022;13,128
23.07.2022;13,158
24.07.2022;8,544
25.07.2022;17,157
26.07.2022;10,59
27.07.2022;17,611
28.07.2022;16,239
29.07.2022;17,16
30.07.2022;7,086
31.07.2022;15,018
01.08.2022;19,75
02.08.2022;22,022
03.08.2022;17,79
04.08.2022;6,171
05.08.2022;5,516
06.08.2022;12,922
07.08.2022;11,344
08.08.2022;26,277
09.08.2022;18,821
10.08.2022;20,648
11.08.2022;14,496
12.08.2022;18,209
13.08.2022;7,065
14.08.2022;8,729
15.08.2022;17,985
16.08.2022;17,49
