Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
01.01.2022 00:00;2,279
01.01.2022 01:00;2,211
01.01.2022 02:00;2,625
01.01.2022 03:00;1,979
01.01.2022 04:00;2,468
01.01.2022 05:00;2,052
01.01.2022 06:00;1,754
01.01.2022 07:00;1,735
01.01.2022 08:00;1,792
01.01.2022 09:00;1,859
01.01.2022 10:00;1,91
01.01.2022 11:00;1,379
01.01.2022 12:00;1,921
01.01.2022 13:00;1,726
01.01.2022 14:00;1,786
01.01.2022 15:00;1,19
01.01.2022 16:00;1,098
01.01.2022 17:00;1,1
01.01.2022 18:00;1,529
01.01.2022 19:00;1,974
01.01.2022 20:00;1,955
01.01.2022 21:00;1,482
01.01.2022 22:00;2,09
01.01.2022 23:00;3,436
02.01.2022 00:00;2,369
02.01.2022 01:00;2,974
02.01.2022 02:00;2,887
02.01.2022 03:00;2,647
02.01.2022 04:00;2,641
02.01.2022 05:00;3,083
02.01.2022 06:00;1,452
02.01.2022 07:00;1,836
02.01.2022 08:00;1,876
02.01.2022 09:00;1,715
02.01.2022 10:00;2,108
02.01.2022 11:00;1,864
02.01.2022 12:00;1,818
02.01.2022 13:00;2,406
02.01.2022 14:00;1,954
02.01.2022 15:00;2,506
02.01.2022 16:00;1,745
02.01.2022 17:00;1,596
02.01.2022 18:00;1,884
02.01.2022 19:00;2,148
02.01.2022 20:00;1,94
02.01.2022 21:00;1,838
02.01.2022 22:00;1,802
02.01.2022 23:00;1,522
03.01.2022 00:00;1,292
03.01.2022 01:00;1,79
03.01.2022 02:00;1,08
03.01.2022 03:00;1,7
03.01.2022 04:00;1,054
03.01.2022 05:00;1,668
03.01.2022 06:00;2,677
03.01.2022 07:00;1,576
03.01.2022 08:00;1,392
03.01.2022 09:00;1,749
03.01.2022 10:00;1,757
03.01.2022 11:00;1,753
03.01.2022 12:00;1,355
03.01.2022 13:00;1,689
03.01.2022 14:00;1,658
03.01.2022 15:00;1,803
03.01.2022 16:00;1,718
03.01.2022 17:00;1,661
03.01.2022 18:00;3,194
03.01.2022 19:00;4,124
03.01.2022 20:00;2,538
03.01.2022 21:00;2,913
03.01.2022 22:00;1,589
03.01.2022 23:00;1,461
04.01.2022 00:00;1,087
04.01.2022 01:00;1,64
04.01.2022 02:00;1,317
04.01.2022 03:00;0,994
04.01.2022 04:00;1,437
04.01.2022 05:00;1,538
04.01.2022 06:00;2,12
04.01.2022 07:00;1,479
04.01.2022 08:00;0,488
04.01.2022 09:00;0,409
04.01.2022 10:00;0,41
04.01.2022 11:00;0,343
04.01.2022 12:00;0,567
04.01.2022 13:00;0,499
04.01.2022 14:00;0,332
04.01.2022 15:00;0,315
04.01.2022 16:00;0,413
04.01.2022 17:00;0,585
04.01.2022 18:00;0,656
04.01.2022 19:00;0,98
04.01.2022 20:00;0,737
04.01.2022 21:00;0,489
04.01.2022 22:00;3,482
04.01.2022 23:00;2,172
05.01.2022 00:00;1,565
05.01.2022 01:00;1,411
05.01.2022 02:00;1,211
05.01.2022 03:00;1,333
05.01.2022 04:00;1,701
05.01.2022 05:00;1,411
05.01.2022 06:00;2,405
05.01.2022 07:00;2,657
05.01.2022 08:00;2,012
05.01.2022 09:00;1,47
05.01.2022 10:00;1,977
05.01.2022 11:00;1,788
05.01.2022 12:00;1,604
05.01.2022 13:00;1,702
05.01.2022 14:00;1,179
05.01.2022 15:00;1,604
05.01.2022 16:00;1,283
05.01.2022 17:00;0,763
05.01.2022 18:00;1,506
05.01.2022 19:00;1,986
05.01.2022 20:00;1,488
05.01.2022 21:00;1,599
05.01.2022 22:00;2,829
05.01.2022 23:00;2,895
06.01.2022 00:00;1,622
06.01.2022 01:00;1,471
06.01.2022 02:00;1,319
06.01.2022 03:00;1,373
06.01.2022 04:00;1,674
06.01.2022 05:00;1,064
06.01.2022 06:00;2,037
06.01.2022 07:00;1,752
06.01.2022 08:00;0,672
06.01.2022 09:00;0,464
06.01.2022 10:00;0,465
06.01.2022 11:00;0,445
06.01.2022 12:00;0,409
06.01.2022 13:00;0,59
06.01.2022 14:00;0,31
06.01.2022 15:00;0,448
06.01.2022 16:00;0,88
06.01.2022 17:00;0,61
06.01.2022 18:00;0,836
06.01.2022 19:00;0,882
06.01.2022 20:00;0,97
06.01.2022 21:00;0,503
06.01.2022 22:00;3,514
06.01.2022 23:00;2,521
07.01.2022 00:00;2,571
07.01.2022 01:00;2,583
07.01.2022 02:00;2,271
07.01.2022 03:00;2,211
07.01.2022 04:00;2,413
07.01.2022 05:00;2,755
07.01.2022 06:00;3,388
07.01.2022 07:00;2,342
07.01.2022 08:00;0,815
07.01.2022 09:00;0,59
07.01.2022 10:00;0,486
07.01.2022 11:00;0,632
07.01.2022 12:00;0,62
07.01.2022 13:00;0,895
07.01.2022 14:00;0,536
07.01.2022 15:00;0,582
07.01.2022 16:00;0,68
07.01.2022 17:00;0,465
07.01.2022 18:00;0,765
07.01.2022 19:00;0,718
07.01.2022 20:00;0,451
