Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
03.01.2022 00:00;1,84
03.01.2022 01:00;2,377
03.01.2022 02:00;1,691
03.01.2022 03:00;2,236
03.01.2022 04:00;1,767
03.01.2022 05:00;2,324
03.01.2022 06:00;2,424
03.01.2022 07:00;1,464
03.01.2022 08:00;2,33
03.01.2022 09:00;3,336
03.01.2022 10:00;3,349
03.01.2022 11:00;1,633
03.01.2022 12:00;2,23
03.01.2022 13:00;1,943
03.01.2022 14:00;3,577
03.01.2022 15:00;1,517
03.01.2022 16:00;1,694
03.01.2022 17:00;1,942
03.01.2022 18:00;1,933
03.01.2022 19:00;1,582
03.01.2022 20:00;1,611
03.01.2022 21:00;1,71
03.01.2022 22:00;2,328
03.01.2022 23:00;1,311
04.01.2022 00:00;1,29
04.01.2022 01:00;1,328
04.01.2022 02:00;1,239
04.01.2022 03:00;1,248
04.01.2022 04:00;1,279
04.01.2022 05:00;1,17
04.01.2022 06:00;0,956
04.01.2022 07:00;1,312
04.01.2022 08:00;1,612
04.01.2022 09:00;1,593
04.01.2022 10:00;0,426
04.01.2022 11:00;0,675
04.01.2022 12:00;1,147
04.01.2022 13:00;1,747
04.01.2022 14:00;0,681
04.01.2022 15:00;0,597
04.01.2022 16:00;1,843
04.01.2022 17:00;0,792
04.01.2022 18:00;0,959
04.01.2022 19:00;0,707
04.01.2022 20:00;1,115
04.01.2022 21:00;2,373
04.01.2022 22:00;0,904
04.01.2022 23:00;1,56
05.01.2022 00:00;2,121
05.01.2022 01:00;4,397
05.01.2022 02:00;2,11
05.01.2022 03:00;2,016
05.01.2022 04:00;1,437
05.01.2022 05:00;1,8
05.01.2022 06:00;1,498
05.01.2022 07:00;1,357
05.01.2022 08:00;1,56
05.01.2022 09:00;1,828
05.01.2022 10:00;2,153
05.01.2022 11:00;1,292
05.01.2022 12:00;0,627
05.01.2022 13:00;0,733
05.01.2022 14:00;0,552
05.01.2022 15:00;0,73
05.01.2022 16:00;1,766
05.01.2022 17:00;0,602
05.01.2022 18:00;1,692
05.01.2022 19:00;0,854
05.01.2022 20:00;0,546
05.01.2022 21:00;0,823
05.01.2022 22:00;1,944
05.01.2022 23:00;1,385
06.01.2022 00:00;1,385
06.01.2022 01:00;1,218
06.01.2022 02:00;1,218
06.01.2022 03:00;1,394
06.01.2022 04:00;1,437
06.01.2022 05:00;1,14
06.01.2022 06:00;1,538
06.01.2022 07:00;1,736
06.01.2022 08:00;1,408
06.01.2022 09:00;1,876
06.01.2022 10:00;1,907
06.01.2022 11:00;0,528
06.01.2022 12:00;0,493
06.01.2022 13:00;1,363
06.01.2022 14:00;1,582
06.01.2022 15:00;0,765
06.01.2022 16:00;1,93
06.01.2022 17:00;0,555
06.01.2022 18:00;0,666
06.01.2022 19:00;1,212
06.01.2022 20:00;1,018
06.01.2022 21:00;2,271
06.01.2022 22:00;1,142
06.01.2022 23:00;1,422
07.01.2022 00:00;1,712
07.01.2022 01:00;1,27
07.01.2022 02:00;1,649
07.01.2022 03:00;1,46
07.01.2022 04:00;1,788
07.01.2022 05:00;1,497
07.01.2022 06:00;2,1
07.01.2022 07:00;1,799
07.01.2022 08:00;1,87
07.01.2022 09:00;1,323
07.01.2022 10:00;2,249
07.01.2022 11:00;0,561
07.01.2022 12:00;0,532
07.01.2022 13:00;1,793
07.01.2022 14:00;0,74
07.01.2022 15:00;0,376
07.01.2022 16:00;0,479
07.01.2022 17:00;0,431
07.01.2022 18:00;0,739
07.01.2022 19:00;0,888
07.01.2022 20:00;1,726
07.01.2022 21:00;0,657
07.01.2022 22:00;2,139
07.01.2022 23:00;1,858
08.01.2022 00:00;1,844
08.01.2022 01:00;1,944
08.01.2022 02:00;2,386
08.01.2022 03:00;3,582
08.01.2022 04:00;2,123
08.01.2022 05:00;2,609
08.01.2022 06:00;2,644
08.01.2022 07:00;2,395
08.01.2022 08:00;2,282
08.01.2022 09:00;1,642
08.01.2022 10:00;0,796
08.01.2022 11:00;1,098
08.01.2022 12:00;1,166
08.01.2022 13:00;2,32
08.01.2022 14:00;0,844
08.01.2022 15:00;0,495
08.01.2022 16:00;0,696
08.01.2022 17:00;1,693
08.01.2022 18:00;3,371
08.01.2022 19:00;1,944
08.01.2022 20:00;0,548
08.01.2022 21:00;0,639
08.01.2022 22:00;1,062
08.01.2022 23:00;1,57
09.01.2022 00:00;1,602
09.01.2022 01:00;1,749
09.01.2022 02:00;1,433
09.01.2022 03:00;1,823
09.01.2022 04:00;1,675
09.01.2022 05:00;1,644
09.01.2022 06:00;2,272
09.01.2022 07:00;1,509
09.01.2022 08:00;1,902
09.01.2022 09:00;1,506
09.01.2022 10:00;1,11
09.01.2022 11:00;0,369
09.01.2022 12:00;0,532
09.01.2022 13:00;0,546
09.01.2022 14:00;0,67
09.01.2022 15:00;0,616
09.01.2022 16:00;0,512
09.01.2022 17:00;0,667
09.01.2022 18:00;1,361
09.01.2022 19:00;0,58
09.01.2022 20:00;0,691
