Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
01.09.2022 00:00;0,312
01.09.2022 01:00;0,198
01.09.2022 02:00;0,065
01.09.2022 03:00;0,063
01.09.2022 04:00;0,059
01.09.2022 05:00;0,068
01.09.2022 06:00;0,073
01.09.2022 07:00;0,145
01.09.2022 08:00;0,111
01.09.2022 09:00;0,248
01.09.2022 10:00;0,246
01.09.2022 11:00;0,246
01.09.2022 12:00;0,249
01.09.2022 13:00;0,246
01.09.2022 14:00;0,244
01.09.2022 15:00;0,237
01.09.2022 16:00;0,496
01.09.2022 17:00;0,581
01.09.2022 18:00;0,32
01.09.2022 19:00;0,204
01.09.2022 20:00;0,281
01.09.2022 21:00;0,359
01.09.2022 22:00;0,18
01.09.2022 23:00;0,194
02.09.2022 00:00;0,119
02.09.2022 01:00;0,065
02.09.2022 02:00;0,063
02.09.2022 03:00;0,058
02.09.2022 04:00;0,065
02.09.2022 05:00;0,06
02.09.2022 06:00;0,059
02.09.2022 07:00;0,066
02.09.2022 08:00;0,067
02.09.2022 09:00;0,31
02.09.2022 10:00;0,264
02.09.2022 11:00;0,238
02.09.2022 12:00;0,309
02.09.2022 13:00;0,376
02.09.2022 14:00;0,285
02.09.2022 15:00;0,167
02.09.2022 16:00;0,612
02.09.2022 17:00;0,204
02.09.2022 18:00;0,275
02.09.2022 19:00;0,195
02.09.2022 20:00;0,147
02.09.2022 21:00;0,141
02.09.2022 22:00;0,227
02.09.2022 23:00;0,199
03.09.2022 00:00;0,174
03.09.2022 01:00;0,066
03.09.2022 02:00;0,063
03.09.2022 03:00;0,057
03.09.2022 04:00;0,065
03.09.2022 05:00;0,074
03.09.2022 06:00;0,143
03.09.2022 07:00;0,066
03.09.2022 08:00;0,197
03.09.2022 09:00;0,146
03.09.2022 10:00;0,19
03.09.2022 11:00;0,239
03.09.2022 12:00;0,066
03.09.2022 13:00;0,058
03.09.2022 14:00;0,063
03.09.2022 15:00;0,062
03.09.2022 16:00;0,167
03.09.2022 17:00;0,234
03.09.2022 18:00;0,254
03.09.2022 19:00;0,331
03.09.2022 20:00;1,115
03.09.2022 21:00;0,353
03.09.2022 22:00;0,367
03.09.2022 23:00;0,285
04.09.2022 00:00;0,208
04.09.2022 01:00;0,139
04.09.2022 02:00;0,111
04.09.2022 03:00;0,113
04.09.2022 04:00;0,104
04.09.2022 05:00;0,111
04.09.2022 06:00;0,109
04.09.2022 07:00;0,106
04.09.2022 08:00;0,227
04.09.2022 09:00;0,183
04.09.2022 10:00;0,434
04.09.2022 11:00;0,362
04.09.2022 12:00;0,674
04.09.2022 13:00;0,24
04.09.2022 14:00;0,28
04.09.2022 15:00;0,201
04.09.2022 16:00;0,176
04.09.2022 17:00;0,148
04.09.2022 18:00;0,181
04.09.2022 19:00;0,55
04.09.2022 20:00;0,283
04.09.2022 21:00;0,359
04.09.2022 22:00;0,372
04.09.2022 23:00;0,282
05.09.2022 00:00;0,241
05.09.2022 01:00;0,118
05.09.2022 02:00;0,124
05.09.2022 03:00;0,115
05.09.2022 04:00;0,121
05.09.2022 05:00;0,123
05.09.2022 06:00;0,124
05.09.2022 07:00;0,107
05.09.2022 08:00;0,107
05.09.2022 09:00;0,225
05.09.2022 10:00;0,234
05.09.2022 11:00;0,281
05.09.2022 12:00;0,366
05.09.2022 13:00;0,388
05.09.2022 14:00;0,33
05.09.2022 15:00;0,328
05.09.2022 16:00;0,392
05.09.2022 17:00;0,306
05.09.2022 18:00;1,072
05.09.2022 19:00;0,533
05.09.2022 20:00;0,193
05.09.2022 21:00;0,282
05.09.2022 22:00;0,413
05.09.2022 23:00;0,311
06.09.2022 00:00;0,183
06.09.2022 01:00;0,127
06.09.2022 02:00;0,098
06.09.2022 03:00;0,099
06.09.2022 04:00;0,101
06.09.2022 05:00;0,102
06.09.2022 06:00;0,243
06.09.2022 07:00;0,097
06.09.2022 08:00;0,119
06.09.2022 09:00;0,232
06.09.2022 10:00;0,244
06.09.2022 11:00;0,256
06.09.2022 12:00;0,262
06.09.2022 13:00;0,253
06.09.2022 14:00;0,217
06.09.2022 15:00;1,414
06.09.2022 16:00;1,071
06.09.2022 17:00;0,363
06.09.2022 18:00;0,334
06.09.2022 19:00;0,264
06.09.2022 20:00;0,19
06.09.2022 21:00;0,323
06.09.2022 22:00;0,33
06.09.2022 23:00;0,338
07.09.2022 00:00;0,193
07.09.2022 01:00;0,117
07.09.2022 02:00;0,108
07.09.2022 03:00;0,109
07.09.2022 04:00;0,104
07.09.2022 05:00;0,104
07.09.2022 06:00;0,113
07.09.2022 07:00;0,106
07.09.2022 08:00;0,105
07.09.2022 09:00;0,354
07.09.2022 10:00;0,317
07.09.2022 11:00;0,284
07.09.2022 12:00;0,32
07.09.2022 13:00;0,317
07.09.2022 14:00;0,306
07.09.2022 15:00;0,278
07.09.2022 16:00;0,308
07.09.2022 17:00;0,241
07.09.2022 18:00;0,75
07.09.2022 19:00;0,202
07.09.2022 20:00;0,205
